enrollment_id,student_age,study_hours_per_week,completion_time_days,avg_score,weekday,course_category,plan_type,completed,satisfaction
87,24.0,3.04,61.55,63.36,2,Business,Free,1,6
88,30.0,1.55,60.76,63.98,0,Design,Free,0,4
89,37.0,4.34,58.72,64.04,4,Programming,Free,0,6
90,26.0,6.78,46.09,72.45,0,Design,Paid,1,6
91,37.0,1.28,64.12,53.0,0,Programming,Free,1,8
92,30.0,4.41,56.23,68.68,4,Business,Free,0,5
93,30.0,5.32,47.37,78.5,3,Design,Free,0,7
94,44.0,5.19,51.42,65.04,4,Design,Free,0,5
95,39.0,2.96,65.24,70.05,5,Programming,Paid,0,6
96,39.0,5.74,44.75,86.47,2,Business,Free,1,10
97,21.0,4.07,74.27,50.97,4,Programming,Free,0,5
98,42.0,5.29,50.21,91.18,3,Programming,Free,0,6
99,26.0,3.83,55.68,59.91,4,Programming,Free,1,7
100,25.0,4.81,60.26,74.61,4,Marketing,Free,1,8
101,16.0,6.68,40.93,85.93,2,Marketing,Free,0,5
102,29.0,3.7,62.75,88.43,3,Business,Free,1,8
103,19.0,5.76,51.51,77.64,4,Programming,Paid,0,8
104,30.0,8.9,49.45,69.21,0,Marketing,Paid,1,9
105,19.0,3.82,59.95,62.39,1,Business,Free,1,7
106,40.0,3.05,60.85,68.68,0,Business,Paid,0,5
107,31.0,6.87,39.6,96.89,1,Design,Paid,1,9
108,43.0,7.73,45.25,63.4,3,Programming,Free,0,5
109,20.0,7.24,50.95,71.88,6,Programming,Free,1,7
110,38.0,5.59,62.31,61.54,6,Marketing,Free,0,4
111,16.0,1.41,57.9,62.44,5,Design,Free,1,8
112,28.0,3.05,68.62,68.32,3,Programming,Free,0,4
113,23.0,3.12,64.31,64.1,1,Programming,Free,0,6
114,24.0,5.17,49.59,75.48,2,Design,Paid,1,8
115,23.0,8.67,50.61,50.25,5,Programming,Free,0,6
116,21.0,3.12,67.82,75.73,6,Marketing,Paid,0,7
117,18.0,11.12,40.35,88.04,6,Business,Free,0,6
118,24.0,3.41,67.77,61.62,2,Business,Free,0,6
119,28.0,3.59,50.16,86.97,3,Design,Paid,0,9
120,35.0,5.93,68.78,32.89,3,Business,Free,0,7
121,29.0,6.15,55.47,65.98,0,Design,Free,0,4
122,35.0,,59.51,49.99,0,Business,Free,0,5
123,17.0,3.59,52.37,86.83,0,Programming,Paid,1,8
124,24.0,5.08,56.51,82.79,5,Design,Free,0,7
125,32.0,2.55,74.53,55.59,1,Programming,Free,0,5
126,29.0,2.83,55.35,76.89,4,Design,Free,1,7
127,21.0,3.89,44.72,82.42,2,Programming,Free,0,5
128,34.0,2.8,64.2,84.29,5,Programming,Free,0,6
129,23.0,6.51,63.52,63.13,0,Programming,Free,0,6
130,22.0,3.13,67.35,51.91,2,Design,Free,0,4
131,30.0,3.67,72.65,57.22,1,Programming,Free,0,5
132,27.0,2.73,57.77,80.54,3,Marketing,Free,1,6
133,23.0,8.09,32.1,98.99,3,Design,Paid,1,6
134,23.0,3.0,51.95,67.35,1,Programming,Free,0,6
135,20.0,6.78,43.38,67.93,4,Design,Free,0,6
136,24.0,6.56,41.72,96.79,6,Programming,Free,0,6
137,35.0,4.15,49.81,80.76,0,Marketing,Paid,1,10
138,29.0,4.11,55.88,61.72,0,Design,Free,1,6
139,34.0,3.28,57.75,69.69,6,Business,Free,0,3
140,31.0,5.18,55.75,80.0,4,Programming,Free,1,7
141,23.0,3.72,52.88,73.3,6,Design,Free,0,3
142,16.0,,49.64,81.94,4,Design,Free,0,5
143,21.0,4.14,58.53,55.65,5,Marketing,Free,0,6
144,22.0,1.99,70.27,59.66,1,Design,Free,0,6
145,22.0,3.92,57.63,66.65,3,Design,Free,0,7
146,34.0,6.79,52.73,68.61,2,Programming,Paid,0,7
147,34.0,5.39,60.86,76.01,5,Programming,Paid,1,8
148,42.0,6.22,65.25,80.37,0,Design,Free,0,5
149,22.0,4.28,49.43,100.0,0,Design,Paid,1,10
150,38.0,4.12,62.09,63.14,3,Programming,Paid,0,5
151,38.0,3.07,51.1,71.55,6,Business,Paid,1,5
152,25.0,4.22,58.76,69.04,6,Marketing,Paid,0,7
153,30.0,9.82,40.44,80.95,4,Programming,Free,0,6
154,36.0,4.59,55.39,85.34,3,Design,Free,0,8
155,27.0,3.12,58.86,62.63,1,Programming,Free,1,9
156,26.0,2.58,52.73,93.72,6,Business,Free,0,6
157,23.0,1.98,68.45,59.49,1,Programming,Free,0,5
158,16.0,2.79,66.44,82.33,0,Business,Free,0,5
159,27.0,5.71,56.37,87.0,3,Business,Free,1,8
160,22.0,4.18,67.39,60.02,2,Business,Paid,1,10
161,19.0,3.29,59.5,78.93,3,Programming,Paid,1,9
162,30.0,2.77,65.96,43.89,6,Marketing,Free,0,6
163,17.0,5.43,55.15,77.89,1,Programming,Free,1,8
164,33.0,3.91,57.59,54.78,6,Programming,Free,0,4
165,30.0,3.82,51.07,83.67,1,Design,Paid,0,8
166,24.0,4.41,62.6,81.06,2,Programming,Paid,1,10
167,27.0,10.94,40.0,83.32,0,Business,Free,0,6
168,19.0,7.02,47.64,80.79,4,Business,Free,1,9
169,32.0,7.85,50.83,68.67,6,Programming,Free,0,6
170,28.0,2.3,59.0,72.5,6,Marketing,Paid,0,6
171,29.0,4.74,41.75,71.11,1,Programming,Paid,1,8
172,31.0,3.03,53.75,62.84,5,Design,Free,0,4
173,23.0,,59.4,65.46,0,Programming,Free,0,5
174,16.0,6.53,45.8,69.45,4,Marketing,Free,0,7
175,34.0,4.7,58.53,58.54,4,Programming,Free,0,6
176,32.0,3.42,57.22,51.11,1,Programming,Paid,0,7
177,23.0,3.76,54.59,65.23,0,Design,Paid,1,10
178,30.0,5.36,64.39,39.42,0,Marketing,Free,0,5
179,36.0,5.61,58.96,69.27,4,Marketing,Free,0,4
180,35.0,4.32,61.0,74.97,4,Business,Free,0,5
181,23.0,4.3,60.62,44.33,0,Marketing,Free,0,5
182,17.0,4.15,56.46,74.99,3,Marketing,Free,0,6
183,18.0,5.72,41.99,76.78,5,Design,Paid,1,9
184,25.0,7.0,54.68,57.88,1,Programming,Paid,0,7
185,37.0,5.38,60.69,66.26,4,Business,Free,0,3
186,22.0,5.12,48.04,86.56,2,Business,Paid,0,6
187,23.0,4.96,65.87,60.31,1,Programming,Paid,1,8
188,23.0,3.9,62.31,68.95,2,Programming,Free,1,8
189,23.0,2.85,58.99,74.81,2,Business,Free,0,8
190,27.0,2.84,61.91,58.13,3,Programming,Free,0,4
191,18.0,6.47,42.08,87.09,1,Marketing,Paid,1,8
192,35.0,2.94,49.29,72.85,2,Programming,Free,0,5
193,26.0,5.85,46.62,64.98,4,Programming,Free,0,5
194,44.0,3.96,53.31,97.0,2,Business,Free,0,5
195,19.0,5.86,58.14,80.15,4,Programming,Free,1,8
196,38.0,,54.91,47.77,0,Programming,Free,0,6
197,37.0,7.41,48.17,74.11,0,Design,Paid,1,9
198,24.0,3.27,38.92,98.4,6,Marketing,Free,1,7
199,24.0,4.87,53.75,56.21,3,Programming,Free,0,5
200,21.0,7.07,50.52,72.8,4,Programming,Paid,1,8
201,21.0,2.02,52.85,84.54,5,Business,Free,0,7
202,27.0,8.72,31.55,79.35,1,Marketing,Free,1,10
203,27.0,11.24,46.9,81.96,6,Design,Free,1,6
204,16.0,6.21,49.15,76.85,2,Programming,Free,1,8
205,43.0,5.83,46.64,68.3,6,Programming,Free,0,5
206,25.0,6.61,54.35,62.49,2,Programming,Paid,1,9
207,27.0,,56.17,73.22,2,Programming,Free,0,5
208,23.0,3.86,60.74,66.57,4,Business,Free,1,6
209,25.0,6.26,52.41,62.22,1,Programming,Free,0,7
210,24.0,3.27,52.2,92.82,4,Design,Paid,0,7
211,27.0,2.52,66.73,66.81,6,Business,Free,0,5
212,27.0,4.24,39.49,95.06,4,Design,Paid,1,9
213,33.0,5.45,48.97,71.08,0,Programming,Free,0,5
214,29.0,2.75,64.75,69.25,4,Business,Free,1,8
215,32.0,3.66,60.79,51.01,0,Business,Free,1,5
216,27.0,3.87,47.98,94.32,0,Business,Free,0,3
217,29.0,2.57,57.75,67.93,1,Programming,Free,0,4
218,25.0,,68.17,44.75,2,Programming,Paid,1,8
219,34.0,2.56,52.41,82.87,0,Marketing,Free,0,4
220,29.0,4.56,46.69,73.5,0,Design,Free,0,5
221,26.0,5.05,61.76,56.82,5,Programming,Free,0,5
222,26.0,5.07,56.06,83.31,3,Design,Free,0,6
223,26.0,5.34,62.16,42.96,1,Business,Free,0,6
224,27.0,3.06,66.21,65.0,3,Marketing,Free,0,8
225,27.0,2.78,58.39,64.41,4,Programming,Free,0,6
226,23.0,4.8,47.63,81.45,5,Marketing,Free,0,5
227,32.0,3.69,51.14,94.88,2,Programming,Free,1,9
228,33.0,6.1,54.1,71.55,1,Design,Free,0,7
229,39.0,4.81,52.12,76.06,6,Business,Free,0,4
230,23.0,7.23,43.15,100.0,4,Programming,Free,1,7
231,32.0,4.11,48.02,72.06,6,Programming,Paid,1,7
232,16.0,6.56,46.21,78.68,2,Design,Free,0,5
233,33.0,,45.71,63.51,0,Marketing,Paid,1,9
234,17.0,4.15,53.89,93.59,2,Design,Free,0,8
235,20.0,5.08,61.09,65.01,2,Marketing,Free,0,7
236,29.0,2.67,64.37,73.95,5,Business,Free,0,6
237,23.0,6.06,47.69,76.4,5,Design,Free,1,8
238,22.0,8.43,34.64,75.94,0,Business,Paid,1,9
239,24.0,4.06,56.14,66.79,4,Programming,Paid,1,9
240,32.0,5.28,57.38,70.9,2,Programming,Free,1,9
241,20.0,4.6,53.06,90.33,4,Business,Free,1,8
242,27.0,4.83,42.58,96.09,2,Business,Free,0,6
243,24.0,5.84,48.28,65.9,3,Programming,Free,0,5
244,33.0,6.4,44.98,73.51,5,Design,Paid,0,7
245,33.0,3.81,56.62,62.1,2,Business,Free,0,5
246,16.0,5.9,30.64,100.0,1,Marketing,Free,0,5
247,34.0,8.36,41.7,76.42,4,Business,Paid,1,10
248,23.0,3.95,50.39,89.15,6,Design,Paid,1,10
249,29.0,4.05,53.78,76.36,3,Programming,Free,1,8
250,20.0,1.83,50.36,96.08,6,Design,Free,0,6
251,30.0,6.59,46.07,72.28,1,Business,Paid,0,8
252,45.0,7.03,49.79,60.88,5,Marketing,Free,1,8
253,28.0,3.61,46.32,92.59,6,Design,Free,0,6
254,24.0,4.31,57.16,78.84,2,Programming,Free,0,5
255,25.0,4.59,52.78,77.48,1,Programming,Paid,1,8
256,17.0,4.26,67.47,91.89,4,Business,Paid,0,7
257,37.0,5.63,47.39,80.65,6,Business,Paid,1,10
258,29.0,2.85,55.96,86.84,0,Programming,Free,1,9
259,20.0,3.65,55.27,70.96,4,Programming,Free,0,6
260,20.0,2.7,53.0,83.02,6,Design,Free,1,7
261,27.0,6.61,57.42,78.32,0,Programming,Paid,1,10
262,34.0,4.52,62.44,67.42,3,Business,Free,0,5
263,19.0,3.34,49.18,65.54,0,Programming,Free,0,5
264,35.0,5.15,48.98,67.29,1,Programming,Paid,0,6
265,26.0,3.67,54.76,75.29,3,Marketing,Free,0,4
266,20.0,8.48,44.96,66.53,2,Programming,Paid,1,8
267,24.0,3.33,47.99,73.23,0,Programming,Free,1,9
268,39.0,6.75,48.96,76.82,5,Programming,Paid,0,6
269,17.0,2.95,47.58,70.46,1,Programming,Free,1,9
270,22.0,5.85,53.16,70.67,6,Programming,Free,0,7
271,34.0,6.47,58.72,61.21,1,Programming,Free,1,9
272,29.0,6.61,58.08,64.62,3,Programming,Free,0,3
273,21.0,7.86,55.06,47.95,5,Programming,Free,0,7
274,34.0,4.63,63.4,72.8,3,Design,Free,1,8
275,34.0,7.08,55.36,60.16,2,Business,Free,0,7
276,29.0,10.53,44.26,79.0,5,Design,Paid,0,6
277,23.0,2.45,59.39,59.43,0,Programming,Free,0,5
278,24.0,3.86,70.52,57.49,5,Design,Paid,0,6
279,29.0,2.59,49.28,100.0,4,Marketing,Paid,1,8
280,18.0,6.54,60.55,70.07,5,Marketing,Free,0,4
281,36.0,2.57,61.22,89.36,2,Programming,Paid,1,6
282,39.0,1.82,65.95,61.68,2,Programming,Free,0,9
283,25.0,2.47,56.07,88.38,4,Programming,Free,0,4
284,29.0,1.85,65.89,54.18,4,Programming,Free,0,3
285,35.0,5.73,44.56,79.76,6,Design,Paid,1,10
286,41.0,2.49,66.02,63.08,6,Design,Free,1,6
287,38.0,1.9,54.36,99.21,0,Programming,Free,0,4
288,16.0,4.97,45.2,69.01,1,Programming,Paid,1,5
289,25.0,4.09,51.71,82.28,6,Design,Free,0,6
290,31.0,2.19,63.3,77.41,2,Programming,Paid,0,5
291,24.0,3.68,64.55,74.72,4,Business,Paid,0,7
292,39.0,4.9,56.2,78.21,0,Programming,Paid,0,6
293,38.0,4.32,39.62,90.77,0,Marketing,Paid,1,9
294,21.0,4.37,46.05,80.02,2,Programming,Paid,0,6
295,26.0,6.89,46.79,74.21,5,Marketing,Free,1,8
296,22.0,13.32,40.41,81.95,5,Marketing,Paid,1,8
297,26.0,4.4,42.86,96.61,6,Marketing,Paid,0,6
298,25.0,2.24,68.18,66.42,1,Business,Free,1,6
299,34.0,3.65,60.52,50.61,1,Business,Free,1,9
300,21.0,5.53,59.0,62.94,3,Business,Paid,0,6
301,16.0,3.96,54.73,59.76,3,Business,Free,0,3
302,16.0,5.34,56.99,57.42,0,Programming,Free,0,6
303,20.0,10.97,36.14,65.53,3,Design,Free,0,5
304,22.0,1.88,68.71,73.76,6,Design,Free,0,6
305,28.0,4.03,49.28,79.1,1,Marketing,Paid,0,6
306,19.0,8.11,36.15,76.37,5,Design,Free,1,10
307,19.0,4.01,46.68,70.7,3,Design,Paid,0,6
308,20.0,7.23,43.51,85.93,3,Business,Paid,0,8
309,19.0,5.39,49.35,74.41,4,Programming,Free,1,9
310,23.0,8.84,42.6,90.98,4,Programming,Paid,1,7
311,23.0,9.59,38.63,82.47,4,Design,Free,1,8
312,32.0,5.89,57.96,74.5,0,Design,Paid,1,8
313,20.0,2.31,51.92,87.67,2,Programming,Paid,1,8
314,24.0,2.96,64.7,71.28,5,Programming,Free,0,4
315,23.0,13.56,25.9,81.58,0,Programming,Paid,1,10
316,33.0,2.15,49.42,76.65,5,Programming,Free,1,10
317,26.0,5.07,50.63,66.51,3,Programming,Free,0,5
318,34.0,1.63,52.99,76.14,0,Business,Paid,1,9
319,19.0,2.21,54.45,66.42,0,Programming,Free,1,8
320,27.0,,56.95,63.54,6,Marketing,Free,0,5
321,23.0,4.12,61.86,49.98,0,Marketing,Free,0,7
322,18.0,3.42,59.86,67.06,0,Design,Free,0,8
323,27.0,3.51,59.41,74.39,0,Programming,Paid,1,8
324,39.0,1.65,46.55,84.86,4,Design,Free,1,10
325,21.0,5.54,52.93,80.86,6,Marketing,Free,0,5
326,26.0,3.57,51.14,67.92,1,Business,Free,1,7
327,18.0,2.56,57.28,67.52,5,Business,Paid,1,9
328,17.0,4.11,44.34,72.2,5,Design,Free,0,7
329,21.0,5.27,61.24,60.27,1,Business,Free,0,5
330,24.0,3.71,56.79,42.62,0,Programming,Free,0,6
331,24.0,4.27,54.51,54.0,3,Business,Free,0,6
332,25.0,5.16,40.91,88.5,0,Programming,Paid,1,10
333,16.0,,50.74,91.43,0,Business,Free,1,9
334,23.0,4.16,51.75,80.42,3,Marketing,Free,0,8
335,31.0,7.06,54.38,71.3,5,Programming,Paid,1,8
336,17.0,6.46,55.67,55.68,6,Business,Free,0,5
337,25.0,5.79,59.93,66.07,4,Programming,Free,0,5
338,29.0,2.99,58.49,77.73,1,Business,Free,0,5
339,22.0,5.4,45.16,77.96,2,Programming,Free,0,4
340,29.0,6.25,42.94,83.73,4,Marketing,Paid,1,9
341,16.0,3.68,60.69,86.51,1,Programming,Paid,1,10
342,33.0,4.11,54.41,96.9,3,Marketing,Paid,0,7
343,30.0,6.88,55.12,70.54,5,Business,Paid,1,10
344,27.0,7.54,44.14,100.0,5,Design,Free,1,7
345,35.0,1.79,71.78,48.78,0,Business,Free,0,5
346,25.0,8.48,51.5,62.44,2,Business,Free,1,6
347,23.0,8.56,43.96,78.6,1,Marketing,Paid,1,9
348,37.0,5.54,60.5,78.59,3,Programming,Paid,1,9
349,40.0,3.64,53.94,72.18,1,Design,Free,1,9
350,22.0,6.04,55.04,66.05,6,Programming,Paid,0,5
351,26.0,3.8,36.66,99.23,6,Business,Paid,1,10
352,34.0,4.68,48.2,65.48,2,Programming,Paid,0,8
353,26.0,2.61,71.42,67.81,2,Design,Paid,0,5
354,31.0,,57.81,90.91,3,Design,Free,0,4
355,32.0,11.58,34.38,82.49,0,Design,Free,0,4
356,23.0,,51.56,84.95,6,Design,Free,1,9
357,30.0,4.44,46.48,73.15,5,Business,Free,1,7
358,27.0,5.0,55.48,59.86,2,Business,Paid,0,7
359,18.0,2.79,48.92,74.85,3,Design,Free,1,8
360,20.0,3.53,59.86,58.86,2,Design,Free,1,10
361,22.0,4.23,58.51,75.04,1,Marketing,Free,0,7
362,33.0,3.71,58.01,75.84,2,Programming,Free,0,5
363,34.0,2.89,64.86,80.91,0,Programming,Free,0,5
364,32.0,5.03,57.29,66.89,5,Programming,Free,0,6
365,30.0,5.52,33.85,83.23,4,Business,Paid,1,8
366,30.0,4.84,68.32,64.96,6,Design,Free,1,9
367,29.0,5.57,44.13,81.63,0,Business,Free,1,8
368,30.0,3.76,55.25,78.42,4,Business,Free,0,7
369,30.0,3.76,61.9,58.4,3,Programming,Free,0,5
370,17.0,9.88,40.98,82.07,4,Marketing,Paid,1,8
371,21.0,3.31,52.56,86.99,6,Business,Paid,0,6
372,20.0,1.75,62.42,68.94,2,Programming,Free,0,8
373,35.0,6.51,46.0,62.13,0,Programming,Paid,1,8
374,39.0,,71.17,74.13,0,Programming,Paid,0,10
375,16.0,,62.29,74.63,3,Programming,Free,0,6
376,38.0,6.04,56.71,58.04,1,Programming,Free,0,4
377,28.0,3.8,71.02,61.92,0,Marketing,Free,1,6
378,34.0,2.87,48.13,83.22,1,Design,Paid,0,8
379,31.0,9.69,45.11,82.23,1,Design,Free,0,6
380,37.0,1.96,49.23,94.65,0,Business,Free,0,7
381,28.0,4.88,52.05,84.66,3,Design,Paid,0,9
382,17.0,2.17,65.44,63.8,4,Marketing,Paid,1,9
383,26.0,5.73,29.27,97.44,2,Business,Paid,1,10
384,31.0,3.8,42.06,88.55,0,Design,Paid,0,8
385,25.0,5.86,71.25,43.94,4,Programming,Free,1,8
386,32.0,5.03,54.43,65.68,0,Marketing,Paid,0,5
387,27.0,7.45,62.66,65.59,5,Business,Free,0,7
388,23.0,3.34,62.06,81.3,2,Marketing,Free,1,8
389,19.0,2.46,68.06,43.45,2,Programming,Paid,0,8
390,24.0,4.51,53.29,71.25,1,Marketing,Free,0,6
391,28.0,3.62,64.07,79.59,1,Business,Free,0,7
392,16.0,1.79,86.78,33.99,1,Programming,Free,0,5
393,22.0,2.52,54.22,81.47,3,Design,Free,0,4
394,16.0,2.91,64.64,80.54,1,Business,Free,1,9
395,23.0,8.17,57.96,57.84,4,Programming,Free,0,7
396,35.0,6.97,58.62,66.47,1,Design,Paid,1,8
397,19.0,4.33,58.15,65.51,3,Business,Paid,0,6
398,32.0,5.01,62.37,35.93,3,Programming,Free,0,2
399,47.0,1.62,55.35,70.74,4,Design,Free,0,5
400,37.0,3.93,45.46,80.2,5,Design,Paid,1,7
401,28.0,4.86,72.09,53.37,3,Programming,Free,1,8
402,33.0,4.37,51.5,82.71,5,Marketing,Free,0,6
403,17.0,3.18,50.89,72.13,1,Business,Free,0,6
404,16.0,3.99,62.34,71.12,5,Programming,Free,0,7
405,27.0,4.72,52.84,68.28,2,Marketing,Free,0,6
406,30.0,5.05,45.48,84.3,4,Marketing,Paid,1,9
407,35.0,7.47,55.35,87.49,3,Programming,Paid,1,9
408,23.0,4.68,48.44,66.52,6,Business,Free,1,7
409,28.0,,53.19,77.13,1,Programming,Free,0,7
410,28.0,8.77,38.95,80.61,3,Marketing,Free,1,7
411,26.0,5.88,46.1,75.6,1,Business,Free,1,8
412,26.0,11.1,24.09,93.45,4,Business,Paid,0,8
413,21.0,3.0,63.01,59.28,0,Programming,Free,0,4
414,29.0,2.48,54.08,72.07,2,Marketing,Paid,0,5
415,28.0,3.81,64.63,58.68,0,Programming,Free,0,4
416,24.0,3.66,54.82,76.7,2,Programming,Free,0,8
417,32.0,7.82,48.26,64.73,3,Programming,Free,0,5
418,34.0,2.44,57.25,63.35,2,Business,Free,0,4
419,32.0,4.89,55.64,91.96,2,Programming,Paid,0,7
420,20.0,6.08,47.61,95.5,1,Marketing,Paid,0,4
421,28.0,4.24,53.0,67.38,5,Business,Free,0,4
422,21.0,3.75,55.54,51.59,5,Programming,Free,0,7
423,28.0,5.96,32.53,94.36,3,Programming,Paid,0,6
424,21.0,8.24,51.52,77.65,0,Programming,Paid,1,9
425,36.0,8.09,51.19,75.63,0,Business,Free,0,6
426,32.0,4.12,61.96,72.16,4,Business,Free,0,6
427,35.0,2.81,62.66,58.4,6,Programming,Free,1,7
428,34.0,8.09,53.18,68.16,6,Marketing,Free,1,8
429,25.0,2.5,64.02,76.13,2,Programming,Free,1,10
430,24.0,9.08,46.48,66.08,3,Business,Free,0,4
431,39.0,7.43,44.54,77.05,1,Marketing,Free,1,7
432,26.0,7.93,41.79,71.15,0,Business,Free,0,5
433,18.0,5.52,59.63,59.37,5,Business,Free,0,6
434,34.0,1.96,56.55,92.83,2,Business,Paid,1,9
435,28.0,2.54,55.68,75.13,3,Programming,Free,1,8
436,38.0,4.66,52.83,71.97,2,Programming,Free,1,6
437,29.0,2.99,55.99,74.66,2,Programming,Free,0,4
438,27.0,3.52,67.38,56.07,6,Design,Free,1,8
439,38.0,6.68,42.71,69.58,5,Business,Paid,1,8
440,16.0,3.76,56.13,54.2,4,Business,Free,1,7
441,23.0,2.34,52.5,73.81,2,Marketing,Free,1,8
442,21.0,7.55,45.93,75.91,5,Programming,Paid,0,9
443,16.0,6.39,51.04,76.55,2,Business,Paid,0,6
444,33.0,4.53,43.47,86.14,3,Programming,Paid,1,10
445,23.0,5.58,65.67,50.03,1,Programming,Free,0,7
446,33.0,4.23,67.7,62.21,4,Business,Free,0,6
447,30.0,,43.88,80.85,0,Marketing,Paid,0,6
448,31.0,4.34,61.32,73.9,5,Business,Free,0,6
449,24.0,9.2,44.6,56.21,4,Programming,Paid,0,6
