order_id,customer_age,distance_km,delivery_time_min,courier_speed_kmh,weekday,restaurant_type,subscription,delivered,rating
90,31.0,3.31,22.05,17.06,0,Italian,Prime,1,8
91,45.0,0.49,10.18,,0,FastFood,Regular,1,8
92,35.0,2.23,16.52,16.49,4,Asian,Regular,1,10
93,35.0,2.81,19.06,19.67,3,Italian,Regular,1,6
94,54.0,2.72,19.26,16.17,4,Italian,Regular,1,8
95,47.0,1.2,16.96,20.51,5,FastFood,Prime,1,7
96,47.0,3.08,19.34,20.38,2,Asian,Regular,1,9
97,25.0,2.02,25.09,14.81,4,Italian,Regular,1,8
98,52.0,2.79,,26.8,3,FastFood,Regular,1,7
99,31.0,1.88,15.03,18.98,4,FastFood,Regular,1,5
100,30.0,2.48,23.19,20.06,4,Vegan,Regular,0,5
101,16.0,3.71,19.41,23.08,2,Vegan,Regular,1,8
102,35.0,1.8,24.59,20.8,3,Asian,Regular,0,7
103,22.0,2.71,22.79,22.41,4,FastFood,Prime,1,7
104,36.0,4.6,29.32,17.56,0,Vegan,Prime,1,7
105,22.0,1.87,18.39,15.12,1,Asian,Regular,1,7
106,48.0,1.25,15.01,15.62,0,Asian,Prime,1,7
107,37.0,3.36,21.09,23.41,1,Italian,Prime,0,5
108,53.0,4.43,20.99,19.85,3,FastFood,Regular,1,6
109,23.0,4.09,28.41,21.97,6,FastFood,Regular,1,8
110,46.0,2.98,30.86,16.58,6,Vegan,Regular,1,7
111,16.0,0.55,10.18,15.49,5,Italian,Regular,1,7
112,34.0,1.42,17.67,21.08,3,FastFood,Regular,1,8
113,26.0,1.46,19.35,20.03,1,FastFood,Regular,1,6
114,28.0,2.37,22.43,17.85,2,Italian,Prime,1,9
115,27.0,5.1,26.75,16.56,5,FastFood,Regular,1,8
116,24.0,1.28,24.99,19.29,6,Vegan,Prime,1,9
117,21.0,6.91,31.5,20.72,6,Asian,Regular,1,7
118,28.0,1.63,19.34,14.95,2,Asian,Regular,1,7
119,33.0,1.52,16.18,20.83,3,Italian,Prime,1,8
120,,3.21,35.79,9.49,3,Italian,Regular,1,8
121,35.0,3.35,25.18,16.41,0,Italian,Regular,1,6
122,42.0,2.88,26.2,,0,Asian,Regular,1,9
123,,1.32,17.52,24.71,0,FastFood,Regular,1,6
124,28.0,2.65,25.18,20.78,5,Italian,Regular,1,7
125,38.0,1.14,19.5,17.9,1,FastFood,Regular,1,9
126,35.0,1.3,,19.25,4,Italian,Regular,1,7
127,24.0,,14.61,24.61,2,FastFood,Regular,1,8
128,40.0,1.28,20.81,25.07,5,FastFood,Regular,1,5
129,27.0,3.59,28.92,19.78,0,FastFood,Regular,1,5
130,25.0,1.47,18.92,12.76,2,Italian,Regular,1,7
131,36.0,1.78,24.36,18.3,1,FastFood,Regular,1,8
132,32.0,1.24,14.45,21.65,3,Vegan,Regular,1,9
133,27.0,4.1,19.98,23.96,3,Italian,Prime,1,9
134,,,12.3,20.84,1,FastFood,Regular,1,5
135,22.0,3.77,21.62,16.92,4,Italian,Regular,1,9
136,28.0,3.62,21.12,28.2,6,FastFood,Regular,1,6
137,42.0,1.81,14.03,20.64,0,Vegan,Prime,1,9
138,34.0,2.05,19.52,15.31,0,Italian,Regular,1,7
139,41.0,1.55,17.28,16.71,6,Asian,Regular,1,10
140,37.0,2.72,19.95,24.0,4,FastFood,Regular,1,7
141,26.0,1.81,13.91,18.32,6,Italian,Regular,1,7
142,17.0,1.6,17.92,20.57,4,Italian,Regular,1,8
143,24.0,2.07,18.71,15.01,5,Vegan,Regular,1,7
144,,0.84,17.54,14.77,1,Italian,Regular,1,6
145,25.0,1.93,16.71,16.59,3,Italian,Regular,1,10
146,41.0,2.88,,20.15,2,FastFood,Regular,1,7
147,41.0,2.5,25.3,22.0,5,FastFood,Prime,1,7
148,52.0,3.4,32.12,20.16,0,Italian,Regular,1,7
149,25.0,1.88,18.34,24.91,0,Italian,Prime,1,9
150,46.0,1.8,20.73,18.78,3,FastFood,Prime,1,7
151,46.0,1.25,11.58,16.25,6,Asian,Prime,1,10
152,30.0,1.85,19.84,17.51,6,Vegan,Prime,1,8
153,36.0,5.94,26.79,24.24,4,FastFood,Regular,1,7
154,43.0,2.34,21.7,21.45,3,Italian,Regular,1,8
155,31.0,1.46,12.02,19.66,1,FastFood,Regular,1,6
156,31.0,1.16,19.14,21.96,6,Asian,Regular,1,7
157,26.0,0.84,19.4,18.87,1,FastFood,Regular,1,7
158,16.0,1.28,19.57,19.47,0,Asian,Regular,1,9
159,33.0,3.06,26.69,20.49,3,Asian,Regular,1,7
160,26.0,1.83,21.12,13.73,2,Asian,Prime,1,8
161,22.0,1.19,17.47,22.73,3,FastFood,Regular,1,5
162,36.0,1.26,13.12,11.87,6,Vegan,Regular,0,4
163,,2.88,21.02,23.47,1,FastFood,Regular,1,5
164,39.0,1.93,15.35,17.7,6,FastFood,Regular,1,6
165,36.0,1.64,18.39,19.98,1,Italian,Prime,1,9
166,28.0,1.7,25.32,20.46,2,Italian,Regular,1,10
167,31.0,6.77,37.29,19.69,0,Asian,Regular,0,5
168,21.0,3.94,27.12,19.14,4,Asian,Regular,1,8
169,39.0,4.52,26.03,21.17,6,FastFood,Regular,1,6
170,34.0,0.77,14.92,,6,Vegan,Regular,1,6
171,34.0,2.13,,20.78,1,FastFood,Prime,1,10
172,37.0,1.41,11.51,15.6,5,Italian,Regular,1,6
173,26.0,2.72,23.93,20.36,0,FastFood,Regular,1,5
174,18.0,3.61,22.07,18.69,4,Vegan,Regular,1,8
175,41.0,2.41,20.76,18.64,4,FastFood,Regular,1,7
176,38.0,1.43,9.65,15.78,1,FastFood,Prime,1,9
177,27.0,1.61,17.02,15.18,0,Italian,Prime,1,10
178,36.0,2.83,29.7,10.68,0,Vegan,Regular,0,5
179,43.0,,24.37,18.64,4,Vegan,Regular,1,8
180,42.0,2.18,21.79,17.87,4,Asian,Regular,0,6
181,27.0,2.16,18.15,11.99,0,Vegan,Regular,1,10
182,19.0,2.07,16.5,20.16,3,Vegan,Regular,1,10
183,20.0,2.69,16.88,18.18,5,Italian,Prime,0,5
184,29.0,2.99,22.02,17.47,1,FastFood,Regular,1,9
185,45.0,2.85,25.12,15.97,4,Asian,Regular,0,7
186,25.0,2.35,21.77,19.52,2,Asian,Prime,1,9
187,27.0,2.25,22.14,15.97,1,Italian,Prime,1,8
188,26.0,1.92,19.31,21.24,2,FastFood,Regular,1,7
189,27.0,1.31,20.18,17.83,2,Asian,Regular,1,8
190,32.0,1.3,14.9,18.53,3,FastFood,Regular,1,6
191,20.0,3.12,18.9,22.32,1,Vegan,Prime,1,9
192,,1.36,10.98,22.21,2,FastFood,Regular,1,9
193,31.0,3.15,18.72,20.24,4,FastFood,Regular,1,7
194,54.0,1.96,16.47,22.67,2,Asian,Regular,0,4
195,21.0,3.16,24.06,24.04,4,FastFood,Regular,1,6
196,46.0,2.86,19.62,15.94,0,FastFood,Regular,1,8
197,45.0,3.68,23.03,17.49,0,Italian,Prime,1,8
198,28.0,1.55,11.42,26.41,6,Vegan,Regular,1,6
199,28.0,2.52,18.86,18.05,3,FastFood,Regular,0,9
200,24.0,3.48,,,4,FastFood,Prime,0,4
201,24.0,0.86,16.23,19.95,5,Asian,Regular,1,6
202,32.0,5.13,19.9,21.33,1,Vegan,Regular,1,9
203,32.0,7.0,38.47,20.57,6,Italian,Regular,1,8
204,18.0,3.39,21.47,23.21,2,FastFood,Regular,1,6
205,53.0,3.14,17.2,21.08,6,FastFood,Regular,1,6
206,,2.78,23.38,18.62,2,FastFood,Regular,1,8
207,33.0,1.69,16.82,22.3,2,FastFood,Regular,1,8
208,26.0,1.9,18.22,16.03,4,Asian,Regular,1,6
209,30.0,,22.82,19.56,1,FastFood,Regular,1,9
210,29.0,1.36,15.69,22.35,4,Italian,Prime,1,9
211,32.0,1.12,18.43,16.09,6,Asian,Regular,1,9
212,32.0,1.86,12.46,22.94,4,Italian,Prime,1,8
213,39.0,2.89,19.21,21.77,0,FastFood,Regular,1,8
214,34.0,1.25,20.97,16.62,4,Asian,Regular,1,7
215,38.0,1.78,,12.64,0,Asian,Regular,1,8
216,32.0,1.9,16.53,22.09,0,Asian,Regular,0,5
217,34.0,1.15,10.19,20.98,1,FastFood,Regular,1,9
218,30.0,0.53,11.74,14.19,2,FastFood,Regular,1,8
219,41.0,1.15,11.92,,0,Vegan,Regular,0,3
220,35.0,2.32,16.36,18.37,0,Italian,Regular,1,7
221,31.0,2.63,21.85,18.21,5,FastFood,Regular,1,8
222,30.0,2.64,21.12,20.92,3,Italian,Regular,0,6
223,31.0,2.82,27.3,10.88,1,Asian,Regular,1,8
224,32.0,1.43,19.63,17.5,3,Vegan,Regular,1,8
225,31.0,1.27,9.75,20.1,4,FastFood,Regular,1,6
226,27.0,2.48,19.14,21.89,5,Vegan,Regular,1,9
227,39.0,1.79,18.93,27.72,2,FastFood,Regular,1,6
228,39.0,3.32,24.01,17.86,1,Italian,Regular,1,9
229,48.0,2.48,20.52,18.1,6,Asian,Regular,1,9
230,27.0,4.08,21.81,29.25,4,FastFood,Regular,1,7
231,38.0,1.79,10.36,21.01,6,FastFood,Prime,1,7
232,16.0,3.62,26.0,19.72,2,Italian,Regular,1,6
233,39.0,7.09,42.77,16.04,0,Vegan,Prime,1,7
234,19.0,2.07,21.84,23.59,2,Italian,Regular,1,6
235,23.0,2.65,23.08,17.5,2,Vegan,Regular,1,7
236,35.0,1.21,21.2,17.64,5,Asian,Regular,1,7
237,26.0,3.29,18.74,19.12,5,Italian,Regular,1,5
238,25.0,3.75,19.52,17.2,0,Asian,Regular,1,7
239,28.0,1.76,17.92,19.7,4,FastFood,Prime,1,8
240,39.0,2.78,,21.72,2,FastFood,Regular,1,7
241,24.0,2.35,22.68,21.22,4,Asian,Regular,1,6
242,32.0,2.5,17.64,22.47,2,Asian,Regular,1,4
243,29.0,3.15,18.71,20.47,3,FastFood,Regular,0,6
244,39.0,3.08,18.76,17.33,5,Italian,Prime,1,8
245,40.0,1.87,17.94,16.4,2,Italian,Regular,1,8
246,16.0,3.18,16.85,27.02,1,Vegan,Regular,1,8
247,41.0,4.27,24.34,18.83,4,Italian,Prime,1,9
248,27.0,1.71,17.94,21.4,6,Italian,Prime,1,9
249,34.0,2.01,18.91,20.31,3,Italian,Regular,1,8
250,24.0,0.76,10.83,24.24,6,Italian,Regular,1,8
251,35.0,3.19,21.36,16.41,1,Asian,Prime,1,10
252,55.0,,,16.4,5,Vegan,Regular,1,9
253,33.0,1.75,11.01,23.33,6,Italian,Regular,1,6
254,28.0,2.17,21.03,23.71,2,FastFood,Regular,1,8
255,30.0,2.05,15.82,22.37,1,FastFood,Prime,0,4
256,19.0,1.88,,20.68,4,Asian,Prime,1,8
257,45.0,2.29,17.18,18.23,6,Asian,Regular,1,7
258,35.0,1.31,20.05,25.71,0,FastFood,Regular,1,8
259,23.0,1.77,15.45,21.74,4,FastFood,Regular,1,7
260,23.0,1.22,17.97,20.85,6,Italian,Regular,1,8
261,32.0,3.2,24.88,22.58,0,FastFood,Prime,1,8
262,40.0,2.3,23.4,16.22,3,Asian,Regular,0,4
263,22.0,1.59,14.24,20.38,0,FastFood,Regular,1,6
264,42.0,2.36,14.43,19.82,1,FastFood,Prime,1,9
265,31.0,1.78,16.96,20.24,3,Vegan,Regular,1,7
266,24.0,4.34,,19.63,2,FastFood,Prime,1,5
267,28.0,1.58,12.45,22.31,0,FastFood,Regular,1,8
268,48.0,3.28,21.29,22.21,5,FastFood,Prime,0,5
269,20.0,1.37,10.0,21.62,1,FastFood,Regular,1,8
270,25.0,3.15,22.63,21.67,6,FastFood,Regular,1,6
271,41.0,,25.58,19.3,1,FastFood,Regular,1,7
272,34.0,3.66,27.26,20.15,3,FastFood,Regular,1,4
273,25.0,4.52,29.23,15.99,5,FastFood,Regular,0,5
274,,2.37,25.52,,3,Italian,Regular,1,6
275,41.0,3.98,31.36,14.63,2,Asian,Regular,1,6
276,35.0,5.66,32.08,18.76,5,Italian,Prime,1,9
277,26.0,1.09,15.25,,0,FastFood,Regular,1,7
278,28.0,1.45,22.89,13.17,5,Italian,Regular,1,7
279,,1.02,11.84,25.81,4,Vegan,Prime,1,7
280,20.0,3.61,27.63,18.85,5,Vegan,Regular,1,9
281,44.0,1.01,17.17,25.34,2,FastFood,Prime,1,8
282,47.0,0.76,15.8,19.42,2,FastFood,Regular,1,9
283,,1.1,,26.09,4,FastFood,Regular,1,9
284,35.0,0.77,14.32,17.54,4,FastFood,Regular,1,9
285,43.0,2.69,19.88,18.96,6,Italian,Prime,1,10
286,50.0,1.11,20.71,15.66,6,Italian,Regular,1,7
287,46.0,0.79,15.8,28.8,0,FastFood,Regular,0,5
288,16.0,2.26,16.69,17.85,1,Italian,Prime,1,8
289,29.0,2.03,17.33,20.65,6,Italian,Regular,1,8
290,37.0,0.83,14.02,22.35,2,FastFood,Prime,1,8
291,,1.56,19.8,16.94,4,Asian,Prime,1,8
292,48.0,2.22,19.73,22.55,0,FastFood,Prime,1,10
293,47.0,1.9,13.77,23.31,0,Vegan,Prime,1,8
294,25.0,,13.52,23.0,2,FastFood,Prime,1,7
295,31.0,3.85,26.38,17.39,5,Asian,Regular,1,7
296,25.0,7.54,,20.95,5,Vegan,Prime,1,10
297,30.0,,13.29,24.86,6,Vegan,Prime,1,9
298,30.0,0.97,22.64,16.0,1,Asian,Regular,1,8
299,41.0,1.77,15.65,12.55,1,Asian,Regular,1,8
300,24.0,2.58,27.7,14.37,3,Asian,Prime,1,5
301,16.0,1.96,17.2,14.55,3,Asian,Regular,0,4
302,18.0,2.82,20.22,18.36,0,FastFood,Regular,1,7
303,23.0,6.8,33.62,16.3,3,Italian,Regular,0,5
304,26.0,0.78,17.43,18.44,6,Italian,Regular,1,6
305,34.0,1.75,17.82,20.19,1,Vegan,Prime,1,7
306,22.0,4.7,20.86,19.12,5,Italian,Regular,1,7
307,21.0,,11.56,16.6,3,Italian,Regular,1,9
308,24.0,3.58,20.34,19.39,3,Asian,Prime,1,6
309,22.0,2.85,16.88,22.6,4,FastFood,Regular,1,4
310,27.0,4.57,23.34,25.74,4,FastFood,Prime,1,10
311,27.0,5.77,26.64,20.7,4,Italian,Regular,1,5
312,38.0,2.78,24.66,17.59,0,Italian,Prime,1,8
313,23.0,0.89,10.98,24.92,2,FastFood,Prime,1,6
314,29.0,1.37,22.23,19.21,5,Italian,Regular,0,5
315,27.0,6.7,28.41,20.57,0,Italian,Regular,1,7
316,39.0,0.93,10.57,23.16,5,FastFood,Regular,1,9
317,31.0,2.65,,18.18,3,Italian,Regular,1,8
318,41.0,0.58,14.28,17.25,0,Asian,Prime,1,7
319,22.0,0.96,12.71,20.61,0,FastFood,Regular,1,5
320,32.0,3.28,24.3,17.11,6,Vegan,Regular,1,8
321,27.0,2.05,18.39,13.49,0,Vegan,Regular,1,7
322,21.0,1.64,18.93,16.7,0,Italian,Regular,1,6
323,31.0,1.48,19.61,21.6,0,FastFood,Prime,1,10
324,48.0,0.67,9.08,21.32,4,Italian,Regular,1,5
325,24.0,2.95,23.19,18.91,6,Asian,Regular,0,5
326,31.0,1.72,15.09,16.33,1,Asian,Regular,1,8
327,20.0,1.0,,15.37,5,Asian,Prime,1,7
328,19.0,2.05,13.41,18.03,5,Italian,Regular,1,9
329,25.0,2.77,26.62,14.66,1,Asian,Regular,1,6
330,28.0,1.8,14.22,14.65,0,FastFood,Regular,0,5
331,28.0,2.15,20.13,13.29,3,Asian,Regular,1,6
332,30.0,2.36,16.34,25.12,0,FastFood,Prime,1,5
333,17.0,1.37,14.54,21.46,0,Asian,Regular,1,7
334,26.0,2.07,18.06,21.61,3,Vegan,Regular,1,8
335,37.0,3.47,24.51,20.83,5,FastFood,Prime,1,7
336,20.0,3.56,22.39,14.88,6,Italian,Regular,1,7
337,29.0,3.11,23.65,20.52,4,FastFood,Regular,1,7
338,35.0,1.39,15.8,18.47,1,Asian,Regular,1,8
339,25.0,2.86,16.71,23.49,2,FastFood,Regular,0,5
340,35.0,2.99,19.6,21.43,4,Vegan,Prime,1,8
341,18.0,1.57,19.96,24.63,1,FastFood,Prime,1,8
342,40.0,1.79,18.37,24.94,3,Vegan,Prime,0,5
343,35.0,3.37,27.51,16.03,5,Asian,Prime,1,10
344,33.0,4.29,29.25,25.79,5,Italian,Regular,1,6
345,42.0,0.74,13.14,12.15,0,Asian,Regular,1,8
346,29.0,4.96,33.09,15.13,2,Asian,Regular,1,9
347,,4.39,24.3,20.06,1,Vegan,Prime,1,8
348,44.0,2.58,23.16,22.65,3,FastFood,Prime,1,8
349,49.0,1.76,16.27,18.03,1,Italian,Regular,0,6
350,26.0,2.5,19.79,19.51,6,FastFood,Regular,0,5
351,31.0,,11.99,24.23,6,Italian,Prime,1,6
352,41.0,2.1,,19.37,2,FastFood,Prime,1,8
353,31.0,1.03,17.45,15.85,2,Italian,Prime,1,10
354,37.0,0.77,18.17,22.9,3,Italian,Regular,1,8
355,39.0,7.26,34.43,20.71,0,Italian,Regular,1,8
356,27.0,2.08,16.99,21.35,6,Italian,Regular,1,8
357,36.0,2.25,15.74,17.47,5,Asian,Regular,1,7
358,32.0,2.28,22.89,13.7,2,Asian,Prime,1,8
359,21.0,1.28,13.59,18.72,3,Italian,Regular,1,7
360,23.0,1.7,20.56,14.56,2,Italian,Regular,1,8
361,26.0,2.12,21.02,20.18,1,Vegan,Regular,1,7
362,40.0,1.81,19.48,22.96,2,FastFood,Regular,1,7
363,41.0,1.33,22.6,24.23,0,FastFood,Regular,0,6
364,39.0,2.62,19.85,20.72,5,FastFood,Regular,1,7
365,36.0,2.57,13.56,18.8,4,Asian,Prime,1,9
366,36.0,2.5,23.28,16.15,6,Italian,Regular,1,8
367,34.0,2.97,15.86,19.32,0,Asian,Regular,1,7
368,36.0,1.83,19.28,18.62,4,Asian,Regular,1,7
369,36.0,1.84,19.42,18.6,3,FastFood,Regular,1,6
370,19.0,5.23,26.98,20.99,4,Vegan,Prime,1,7
371,25.0,1.38,15.27,19.62,6,Asian,Prime,1,9
372,23.0,0.72,13.59,21.24,2,FastFood,Regular,1,8
373,42.0,3.14,19.9,16.36,0,Italian,Prime,1,7
374,47.0,1.64,,21.53,0,FastFood,Prime,1,9
375,16.0,1.11,17.73,22.66,3,FastFood,Regular,1,8
376,,3.28,22.85,18.51,1,FastFood,Regular,1,9
377,33.0,1.86,24.66,16.68,0,Vegan,Regular,0,8
378,41.0,1.16,12.07,19.86,1,Italian,Prime,1,9
379,37.0,5.84,29.09,20.64,1,Italian,Regular,1,7
380,45.0,0.83,10.61,22.16,0,Asian,Regular,1,8
381,34.0,2.21,22.5,20.23,3,Italian,Prime,1,7
382,20.0,0.82,15.17,16.11,4,Vegan,Prime,1,10
383,31.0,2.34,12.86,21.9,2,Asian,Regular,1,6
384,37.0,1.63,10.36,21.24,0,Italian,Prime,1,9
385,30.0,3.16,31.0,13.29,4,Italian,Regular,1,7
386,38.0,2.29,18.72,16.62,0,Vegan,Prime,1,8
387,31.0,4.23,33.53,15.82,5,Asian,Regular,1,7
388,27.0,1.59,,21.85,2,Vegan,Regular,1,9
389,22.0,0.96,18.09,13.86,2,FastFood,Prime,1,9
390,28.0,2.29,21.71,19.17,1,Vegan,Regular,1,7
391,34.0,1.75,22.94,18.87,1,Asian,Regular,1,10
392,16.0,0.74,21.12,12.5,1,FastFood,Regular,1,7
393,25.0,1.13,12.06,20.44,3,Italian,Regular,1,8
394,16.0,1.34,18.31,19.08,1,Asian,Regular,1,6
395,26.0,4.74,33.11,18.46,4,FastFood,Regular,1,6
396,43.0,3.42,26.2,15.5,1,Italian,Prime,1,9
397,21.0,1.91,19.19,14.93,3,Asian,Prime,1,9
398,38.0,2.61,22.33,12.98,3,FastFood,Regular,0,8
399,58.0,0.66,6.4,17.65,4,Italian,Regular,1,6
400,45.0,1.7,11.18,19.07,5,Italian,Prime,1,9
401,33.0,2.51,24.01,17.34,3,FastFood,Regular,1,7
402,40.0,2.21,16.8,22.22,5,Vegan,Regular,1,9
403,20.0,1.5,14.25,17.25,1,Asian,Regular,1,8
404,18.0,1.97,22.28,21.78,5,FastFood,Regular,1,7
405,,2.43,17.31,18.37,2,Vegan,Regular,1,6
406,36.0,2.3,,21.58,4,Vegan,Prime,1,8
407,42.0,3.72,26.96,24.87,3,FastFood,Prime,1,7
408,27.0,2.4,15.55,16.02,6,Asian,Regular,1,8
409,34.0,,20.34,23.28,1,FastFood,Regular,1,4
410,33.0,5.17,25.36,21.66,3,Vegan,Regular,1,7
411,31.0,3.17,15.42,18.0,1,Asian,Regular,1,9
412,31.0,6.03,25.97,21.02,4,Asian,Prime,1,9
413,24.0,1.39,16.84,18.82,0,FastFood,Regular,1,5
414,35.0,0.96,12.99,18.32,2,Vegan,Prime,1,9
415,34.0,1.86,21.87,18.67,0,FastFood,Regular,1,6
416,28.0,1.78,13.25,23.18,2,FastFood,Regular,1,7
417,38.0,4.49,22.15,20.18,3,FastFood,Regular,1,8
418,41.0,1.08,13.49,15.33,2,Asian,Regular,1,6
419,,2.22,17.24,25.99,2,FastFood,Prime,1,10
420,23.0,2.52,19.98,24.57,1,Vegan,Regular,1,8
421,33.0,2.13,19.36,16.21,5,Asian,Regular,0,6
422,24.0,1.83,15.13,16.9,5,FastFood,Regular,0,6
423,33.0,2.45,12.01,26.59,3,FastFood,Regular,1,9
424,24.0,4.19,26.21,22.41,0,FastFood,Prime,1,9
425,43.0,4.69,28.32,19.59,0,Italian,Regular,1,7
426,39.0,2.05,21.4,17.25,4,Asian,Regular,1,6
427,42.0,1.29,16.21,18.6,6,FastFood,Regular,1,7
428,41.0,4.68,29.17,16.01,6,Asian,Regular,1,8
429,30.0,1.11,,23.03,2,FastFood,Regular,1,6
430,28.0,5.39,30.76,15.93,3,Asian,Regular,0,6
431,48.0,4.22,24.16,20.71,1,Vegan,Regular,1,8
432,31.0,4.57,25.32,17.03,0,Asian,Regular,0,5
433,20.0,2.94,23.4,14.46,5,Asian,Regular,1,7
